id,index,year,month,day,state,text,category,banking,stringency,explanation,stringecy_num
11,113,1953,3,31,new jersey,"New Jersey has made technical amendments to the securities law to reflect new courts and procedures. The amending law also repealed provisions relating to the contents and issuance of a subpoena (Â¶33,108), penalties for failure to obey a subpoena (Â¶33,109), applications for an injunction or receiver (Â¶33,113), and injunctions issued with the consent of the parties (Â¶33,114).",Other,No,Less,"This amendment to New Jersey's securities law results in a reduction of regulatory stringency. By repealing several provisions connected to subpoenas and injunctions, the law reduces the procedural steps and potential penalties for non-compliance. This may ease legal processes and slightly decrease compliance related burdens for businesses and financial intermediaries involved in securities.",-1
12,113,1953,3,31,new york,"New York has amended, effective September 1, 1953, provisions in respect to the minimum capital investments of domestic insurers. Domestic insurers are required to invest in named securities in an amount equal in value to the minimum capital required by law or the minimum surplus to policyholders required to be maintained by law, whichever amount is greater, as prescribed for a domestic stock corporation authorized to transact the same kinds of insurance.",Other,No,More,"The amended provision has augmented the stringency by enforcing domestic insurers to have a higher capital investment in named securities. This change in the law places a larger minimum capital requirement or surplus for policyholders needed by law, potentially limiting the scope of investments for domestic insurers. This could impact the financial intermediaries' investment strategies in New York, as the emphasis on named securities might redirect fund allocations towards these specific assets.",1
13,113,1953,3,31,texas,"The Texas Guide is revised in this issue of the Reports to reflect the regulations of the Texas Securities Commissioner governing speculative and promotional securities. These regulations, dated August 1, 1952, were not available for publication until February 19, 1953. They were reported at Â¶46,601 and 46,602 in Report No. 109.,Applications for permits to sell speculative issues, as defined in the regulation, must affirmatively show:,that 10% or more of the stock or proposed stock has been subscribed and paid for in cash by the organizers and promoters before public offering or sale; and,that the issuer, promoters and organizers agree to have such stock placed in escrow until released by the Secretary of State.,Dividends on escrowed stock are prohibited, and the release of such stock from the escrow agreement will require a showing that all of the other stockholders have been paid not less than 6% of the initial offering price in aggregate amount of dividends and that such payments were made from the issuer's operating earnings.,The regulation restricting promotional shares limits the issuance of such shares  to such quantity as will tend to establish an ultimate equality of participation between shares sold for cash or its equivalent and promotional shares.  Promotional and related expenses cannot exceed 20% of the total capital.","Registration, Exemption, Disclosure",No,More,"The revised regulations impose greater restrictions and disclosure requirements for issuers of speculative and promotional securities. They mandate a 10% stock subscription by promoters before public offering and further restrictions on escrowed stock and dividends. This would mean enhanced compliance requirements and the potential limitation of capital-raising alternatives for businesses, while providing additional safeguards for investors. Despite the increased regulatory burden, the changes aim to ensure greater transparency and fairer distribution of economic benefits.",1
14,114,1953,4,7,arkansas,"Securities issued by any church or religious association will be exempt from the Arkansas Securities Act as the result of an amendment effective June 11, 1953.",Exemption,No,Less,"The amendment to the Arkansas Securities Act dated June 11, 1953, reduces the regulatory burden for churches and religious associations, particularly in terms of reducing compliance and administration. Since the securities issued by these entities are now exempt from the Act, the process for fundraising through securities is simplified, thereby potentially encouraging more investment activity within these entities.",-1
15,114,1953,4,7,colorado,"Last November the Attorney General of Colorado ruled that the use of an identifying statement under Rule 132 of the SEC before the registration of securities in Colorado violates the provisions of the Colorado Securities Act. The Colorado Legislature has amended the law provision enumerating the transactions, that are subject to the Act to provide an exception which allows the issuance, publication or circulation of a preliminary form of prospectus, an identifying statement or other form of descriptive statement in the case of any security concerning which a registration statement is pending before the SEC.","Exemption, Registration",No,Less,"The recent amendment to the Colorado Securities Act brings about a measurable degree of leniency in terms of registration process. The new provision allows for an exception to the use of identifying statements even when a registration statement is pending before the SEC. This signifies that businesses and financial intermediaries now have fewer constraints on preliminary disclosures while their registration with the SEC is ongoing. The implications of this change may result in increased initial public offering activity in Colorado, as the preliminary distribution of prospects can attract potential investors earlier in the process.",-1
16,114,1953,4,7,indiana,"The guardian of the estate of an incompetent wil1 have to invest the property of the ward in accordance with the rules applicable to investments of trust estates by trustees. This law is effective January 1, 1954. The law prescribing authorized trust investments is reproduced at Â¶17,851.",Other,Yes,More,"This law increases stringency by prescribing specific rules for the investment of a ward's property by a guardian similar to trustees dealing with trust estates. For financial intermediaries, this change might potentially increase the oversight and administration of guardianship and trusteeship, leading to stricter compliance with trust investment regulations. For businesses, it may require closer examination of the sources and guidance of the investments made on behalf of incompetent wards.",1
17,114,1953,4,7,massachusetts,Provisions of law relative to the amount that may be i1wested by a Massachusetts savings bank in banking premises and in alterations in and additions to banking premises owned or leased by such a bank have been amended.,Other,Yes,Less,"This change provides greater investment flexibility to Massachusetts savings banks. The amendment eases restrictions around the amount that a bank can invest not only in banking premises but also in alterations, additions, and improvements to owned or leased premises. The change, indicative of less regulatory stringency, could promote expansion and infrastructure improvement in the banking sector, potentially improving customer service and operational efficiency.",-1
18,114,1953,4,7,minnesota,Minnesota life insurance companies are now permitted to invest in obligations payable in United States dollars issued or fully guaranteed by the International Bank for Reconstruction and Development not exceeding in aggregate face amount three percent of the total admitted assets of such life insurance company.,Exemption,Yes,Less,"This change permits life insurance companies in Minnesota to invest in obligations from the International Bank for Reconstruction and Development (IBRD). This signals a less stringent stance, broadening the scope of permissible investments. The development potentially benefits the insurance sector by allowing access to potentially high-quality, dollar-denominated international assets, subject to a threshold tied to their admitted assets.",-1
19,114,1953,4,7,new hampshire,"The definition of  dealer  in the New Hampshire Blue Sky Law has been amended to mean any individual, partnership, association or corporation engaging in the  purchasingâ of securities.",Broker/Dealer,No,More,"The amendment to the definition of a 'dealer' in the New Hampshire Blue Sky Law implies a broader interpretation. This includes not only individuals but also partnerships, associations, or corporations engaged in the purchasing of securities. Consequently, more entities are now subject to regulation, amplifying the scrutiny and oversight within the securities trading environment. Thus, businesses and financial intermediaries might face increased regulatory responsibilities and oversight in their trading practices.",1
20,114,1953,4,7,new jersey,"New Jersey insurance companies may invest in bonds authorized to be issued by any commission appointed by the New Jersey Supreme Court as the court was constituted prior to September 15, 1948. The 1953 amendment has added the qualification that designates the court appointing the commission.",Other,No,Neutral,"The change emphasized in this text pertains to the authorization enabling insurance companies in New Jersey to invest in bonds issued by commissions appointed by the pre-1948 structure of the New Jersey Supreme Court. The 1953 amendment introduced a new qualifier regarding the court's appointment of the commission. The stringency of this regulation has not been explicitly increased or decreased. In practical terms, it could enhance clarity about permissible investments for insurance companies. However, without additional context, the precise implications are unclear.",0
21,114,1953,4,7,new york,"A trust company holding, in a fiduciary capacity, a part interest in a bond and mortgage or note and mortgage held by, or in the name of. such trust company, may now waive or modify, or agree to waive or modify, the terms of such investments at any time prior to April 1, 1957. This is an extension of the former date of April 1, 1953.",Other,Yes,Neutral,"This historical change extended the time for Trust Companies to modify terms of certain bond and mortgage investments. Such an extension offered institutions more flexibility to adapt to changing market conditions until the new deadline of April 1, 1957. However, it categories as 'other' since it does not directly affect exemptions, registration, broker/dealers, fees, or disclosure.",0
22,115,1953,4,22,arizona,"Under the provisions of the Arizona Securities Law, the Commission may transmit evidence to the Attorney General of any acts, practices or transactions that constitute a violation of the law. The Attorney General may then petition the court for the appointment of a conservator or receiver of the violator. A new section added to the Securities Law provides for the appointment of conservators and receivers, restraining orders, and establishes the powers, duties and compensation of conservators.",Other,No,More,"The changes to the Arizona Securities Law introduce expanded enforcement powers to the Commission and the Attorney General, allowing for transfer of evidence and petitioning the court for appointments of conservators or receivers for violations. This implies a greater level of oversight and enforcement, potentially leading to higher compliance costs for businesses and financial intermediaries and heightened litigation risk for those breaching securities regulations.",1
23,115,1953,4,22,maine,"Amendments  effective ninety days after the adjournment of the Maine legislature, will permit savings banks to invest in mortgage bonds of natural gas companies and to make loans where insurance policies on the life of the borrower have been pledged as collateral.",Other,Yes,Less,"This amendment reduces regulatory stringency by allowing savings banks to expand their investment activities into the mortgage bonds of natural gas companies, and accept insurance policies on the life of the borrower as collateral for loans. This may potentially increase the risk exposure of banks but also may offer new avenues for income generation and portfolio diversification.",-1
24,115,1953,4,22,nebraska,"An amendment, effective three calendar months after the adjournment of the Nebraska legislature, allows corporate fiduciaries to invest in a common trust fund containing investments authorized by law for fiduciaries.",Other,Yes,Less,"The amendment allows corporate fiduciaries greater investment flexibility by letting them invest in a common trust fund containing investments authorized by current law. This expands the range of financial products they can invest in, thus reducing the regulation stringency. It may potentially increase returns for beneficiaries but also risk exposure, depending on the types of investments undertaken within the common trust fund.",-1
25,115,1953,4,22,new york,"Investment by New York insurance companies in common stocks is limited to the lesser of 3 percent of admitted assets or one-third of surplus. Since retirement systems do not have a surplus, the limitation relating.to one-third of surplus prevents any investment whatever in. common stocks. An amendment to the law removes this limitation on surplus in respect to retirement systems.",Other,Yes,Less,"This law amendment reduces restrictions on investments by retirement systems in common stocks. Previously, retirement systems, which lacked a surplus, were unable to invest due to limitations on surplus. However, with the amendment removing this surplus limitation, these systems are now allowed to make investments, thus easing the strictness of the regulations. This is expected to increase the investment options for retirement systems and can encourage them to diversify their portfolios, potentially enhancing their financial stability.",-1
26,115,1953,4,22,north carolina,"Fiduciaries are authorized to invest funds in building and loan associations and federal savings and loan associations, without authorization from state or federal authority, where these funds are insured by the Federal Savings and Loan Insurance Corporation.",Exemption,Yes,Less,"This rule provides a clear exemption to fiduciaries, allowing them to invest funds in building and loan associations and federal savings and loan associations without requiring authorization from state or federal authority. This means that it might lead to an increase in investment activities due to less bureaucratic oversight and create ease in doing business. However, it could also potentially increase the risk associated with investments as a result of reduced reliance on state or federal oversight.",-1
27,115,1953,4,22,rhode island,"In a supplemental NASA report, dated April 3, 1953, Florida and Indiana have been added to the list of states where the Statement of Policy of the National Association of Securities Administrators on the publication or distribution of identifying statements and preliminary prospectuses has been accepted with added requirements. An amendment to the Indiana Securities Law at this session of the legislature made the Statement of Policy acceptable under Indiana law with added conditions. Subsequent correspondence with the Rhode Island Blue Sky Law administrators indicates that this state should be omitted from the listing at Â¶4454. The Rhode Island officials explained that if the SEC rules are changed to permit the imprinting of the Statement of Policy legend on the red herring prospectuses, they will endeavor to obtain an opinion from their Attorney General as to the legality of the distribution of these two documents.","Disclosure, Other",No,More,"The changes in April 1953 reflect an increase in regulatory stringency, as both Florida and Indiana adopted the National Association of Securities Administrators' Policy Statement, adding extra requirements. Amendments to Indianaâs Securities Law allowed the Policy Statement to be acceptable under state law, with added conditions, exacerbating disclosure necessities. Rhode Island, however, expressed intent to omit itself from this policy should SEC rules allow for imprinting of the policy legend on prospectuses, suggesting potential future leniency.",1
28,115,1953,4,22,vermont,The amount a Vermont insurance company may invest in certain types of corporate and trust securities has been increased from one to three percent of its assets. The amendment authorizing the increase has changed the requirements in respect to the earnings and capitalization of the corporation or trust issuing the securities.,Other,Yes,Less,"The change in Vermont's securities law allows insurance companies to increase their investments in specific types of corporate and trust securities from one to three percent of assets. This relaxation indicates less stringent regulation and may lead to a broader range of investment activities by insurance companies. Meanwhile, corporations or trusts issuing such securities may see a larger investor base, though they must adhere to the modified earnings and capitalization requirements.",-1
29,116,1953,4,27,iowa,"An amendment effective July 4, 1953, limits life insurance companies from investing from surplus, in common stocks, more than an amount equal to five percent of its funds.",Other,No,More,The amendment increasing limitations on life insurance companies' investing abilities adds further restrictions to their operations. The limitation to invest no more than five percent of their funds in common stocks reduces the range of investment opportunities and has the potential to lower their potential returns. This implies an increased stringency in the regulation of insurance companies' investment activities.,1
30,116,1953,4,27,kansas,"The capital, surplus and other funds of a Kansas insurance company, other than a life company, may be invested in the securities of any open end management type investment company or investment trust registered with the Securities and Exchange Commission which has been organized for a period of at least ten years and has assets of not less than twenty-five million dollars. The amendment authorizing this investment is not effective until after publication in the statute book.",Other,No,Less,"This amendment allows Kansas insurance companies (except life insurance companies) to invest in open-end management type investment companies or investment trusts, provided those entities meet certain conditions. The regulation reduces investment constraints potentially enabling insurance companies to diversify their portfolios and attain higher returns. This change could increase investment activity in the specified types of investment trusts and companies.",-1
31,116,1953,4,27,kansas,"Investments of Kansas life insurance companies have been enlarged by an amendment which becomes effective upon publication in the statute book. The amendment provides that such companies may invest in corporate notes, income bonds, equipment trust certificates issued or guaranteed by any railroad, public utility or industrial corporation. Also authorized for investment are first mortgage bonds, debentures, corporate notes, income bonds, equipment trust certificates or preferred stocks issued or guaranteed by any finance corporation and the common stock of an insurance company having similar or closely related corporate powers.",Other,No,Less,"This amendment lessens the stringency of the state's Blue Sky Law by expanding the range of permissible investments for Kansas life insurance companies. They are now able to invest in a wider array of financial instruments including corporate notes, income bonds, and certain types of stocks. This change may encourage greater investment activity and diversification of portfolios among these insurance companies.",-1
32,116,1953,4,27,maine,"An amendment, effective ninety days after the adjournment of the Maine legislature, adds to the list of investments for Maine savings banks. Subject to certain limitations, investment may be made in the preferred stocks of any corporation operating an electric light and power business, artificial or natural gas business, a combination thereof, or a corporation furnishing municipal users with a water supply.",Other,Yes,Less,"The amendment allows for Maine savings banks to expand their investment opportunities, specifically in corporations engaged in particular utility operations or municipal water supply. This expansion of investment possibilities implies a less stringent approach to regulating such investments. This could potentially offer financial intermediaries in Maine more diversified investment portfolios and may pave the way for an increased investment flow into these specific business sectors.",-1
33,116,1953,4,27,new jersey,"Subject to the limitations of the law, a savings bank may invest in preferred or common stocks issued or guaranteed by a corporation created or existing under the laws of the United States or any state, district or territory. To be eligible for investment the corporation must have had no arrears of dividends on its preferred stock and the common stock must be registered on a national securities exchange. The law does not enlarge the classes of investments permitted for fiduciaries or any other type of investor whose investments are regulated by statute, by reference in any such statute to investments which are legal for savings banks.",Registration,Yes,More,"This law adds a criterion for savings banks' investments in corporate stocks, which must now be registered on a national securities exchange. This increases oversight and transparency, but might limit investment opportunities as only corporations fulfilling these requirements will be eligible. The stringency of the investment laws for savings banks is increased by this rule, but it does not extend to other types of investors, such as fiduciaries. The change may result in savings banks becoming more particular in their investment choices.",1
34,116,1953,4,27,virginia,"The Securities Division of the Virginia State Corporation Commission has rescinded the Administrative Order requiring monthly reports of sales by salesmen licensed under authorizations. Form V.S.L. No. 15, used for making such reports, was cancelled.","Disclosure, Broker/Dealer",No,Less,"The rescinding of the Administrative Order by the Securities Division of the Virginia State Corporation Commission indicates a decrease in the reporting requirements for licensed salesmen. With the elimination of Form V.S.L. No. 15, salesmen no longer need to submit monthly reports of their sales. This change may reduce administrative burdens on broker-dealers, potentially increasing the pace of business transactions and lowering costs associated with regulatory compliance.",-1
35,117,1953,5,7,california,"The California legislature has amended provisions of law relating to the investment of funds of savings banks in district bonds. In a statement of facts accompanying the act, the legislature declared the urgency of the measure and found that the demands of an ever increasing population require the rapid development of the water resources of the state. A number of public districts have such developments underway and will be issuing bonds to finance the same prior to the time that laws passed in the 1953 session would ordinarily become effective. Conflicting restrictions of the Financial Code prevent investment of savings banks funds in such bonds; the amendment permits such investment immediately (Â¶8827).,In an amendment effective 90 days after the adjournment of the legislature, investment by savings banks in corporate obligations has been changed in respect to unsecured evidences of indebtedness (Â¶8829, b) and the provisions providing for investment in public utility bonds have been extensively changed (Â¶8831).",Other,Yes,Less,"The California legislature has loosened regulations on savings banks, allowing for investment in district bonds and corporate obligations. This change was driven by increasing population demands that require rapid development of water resources. The amendment is expected to not only enable swift funding of public projects, but also offer new investment avenues for savings banks. The alterations to investment in public utility bonds further supports this redirection of funds.",-1
36,117,1953,5,7,iowa,"Instruments that were certificates of interest in an oil lease, and were beneficial interests in title to property under a profit-sharing or participating scheme, were  securities  under the Iowa Blue Sky Law.","Registration, Other",No,More,"This change in the Iowa Blue Sky Law tightens the definition of securities to incorporate certificates of interest in an oil lease and benefits from a profit-sharing or participating scheme. This increases the regulatory scope under the law, impacting firms engaged in such arrangements as they might now have to comply with additional registration and disclosure requirements. This will increase both regulatory oversight and potential compliance costs for businesses involved in these types of securities transactions.",1
37,117,1953,5,7,minnesota," Authorized investments  in which the trustees of any Minnesota savings bank may invest deposits include interest-bearing obligations of any county, city, town, village, district or public authority in any state other than Minnesota. Requirements for these investments have been amended in respect to the total amount of bonded indebtedness of the issuer.",Other,Yes,Neutral,"This change entails an adjustment in the rules for authorized investments that trustees of any Minnesota savings bank may invest in. Although it sets a different standard regarding the total amount of bonded indebtedness of the issuer, the amendment does not directly impact the stringency of regulations, as it neither clearly heightens nor diminishes restrictions. The precise balance of impact on businesses and financial intermediaries would depend on the existing debt levels of potential issuers and the specific risk appetite and investment thresholds of the relevant savings banks.",0
38,117,1953,5,7,new york,"Provisions in relation to the investment of funds of New York savings banks in railroad obligations have been amended. Included in the amendments are provisions relating to investment in equipment trust obligations and fixed interest-bearing bonds of terminal, depot and tunnel corporations.",Other,Yes,Less,"The amendment of provisions in relation to the investment of funds of New York savings banks in railroad obligations indicates a relaxation of rules regarding investment in specific, railroad-related securities. Now, banks can invest in equipment trust obligations and certain types of interest-bearing bonds, expanding the range of investment options. Financial intermediaries, as a result, may have more flexibility in financial planning, positively influencing their profitability and risk management.",-1
39,117,1953,5,7,washington,"Sections of law prescribing investments for Washington mutual savings banks have been amended, effective June 11, 1953. These banks will be authorized to invest in bonds or interest-bearing obligations of the State of Washington and its agencies whether general or limited obligations (Â¶50,805). Warrants of local improvement districts will be eligible for investment (Â¶50,812). The total amount which a mutual savings bank will be allowed to invest in real estate contracts and mortgages may not exceed 70 percent of its funds (Â¶50,826). These banks will also be authorized to invest in loans secured by eligible first mortgages with participating interests (Â¶50,830).",Other,Yes,Less,"The amendment to the law regarding Washington mutual savings banks significantly enhances their investment possibilities. It enables these banks not only to invest in bonds or interest-bearing obligations of the State of Washington and its agencies, local improvement district warrants, but also real estate contracts, mortgages, and loans secured by first mortgages. This indicates a decrease in investment limitations, leading to potential higher fund productivity and diversification, which can impact the financial robustness of these institutions.",-1
40,117,1953,5,7,wisconsin,"Wisconsin life insurance companies may invest in the bonds of Canadian governmental or civil divisions, bonds payable from revenues of a public utility or railroad owned by any governmental subdivision within Canada, and in loans secured by mortgages upon property in Canada.",Other,Yes,Less,"The provision enabling Wisconsin life insurance companies to invest in certain Canadian securities and property signifies a relaxation in restrictions, giving these companies more investment options. Thus, it could potentially increase financial returns for these firms, since broader investment opportunities enable risk diversification and potential access to high-performing foreign markets.",-1
41,117,1953,5,7,wisconsin,"An officer of a corporation, who sells stock in excess of the authorized capitalization to purchasers who assumed that the certificates were legally issued, is estopped from denying the legality of such issuance in a prosecution for the sale of stock that has not been registered under the Wisconsin Blue Sky Law.","Registration, Disclosure",No,More,"The excerpt implies a stricter interpretation of the Wisconsin Blue Sky Law, particularly regarding the registration of stocks and disclosure requirements. An officer selling stocks beyond authorised capitalization, assumed legal by purchasers, cannot deny their legality if not registered under the law. This increases the stringency on corporations and their officers, enforcing lawful stock issuance and registration, and upholding investor protections.",1
42,117,1953,5,7,wisconsin,"Where a corporation issued shares of stock in excess of the number of shares authorized by the articles of incorporation, the holders for value of such stock certificates are holders of securities for the purposes of the Wisconsin Blue Sky Law which provides that the sale by a corporation of its securities, if the aggregate number of holders of all its securities does not exceed 15, is an exempt transaction.",Exemption,No,Neutral,"Under the Wisconsin Blue Sky law, the issued stock certificates exceeding authorized numbers will still be recognized as securities if the corporation does not have more than 15 holders for all securities. This offers an exemption for these transactions from further regulatory scrutiny. However, this provision holds neutral implications for corporations as it neither relaxes nor tightens the regulatory oversight, but simply clarifies the legal status of excess stock issuances and their holders.",0
43,118,1953,5,14,california,California has made an amendment to the Corporate Securities Law to change a reference to the Civil Code. The provisions that were formerly in the Civil Code are now part of the Corporations Code. The amendment is effective ninety days after adjournment of the Legislature.,Other,No,Neutral,"The amendment made to California's Corporate Securities Law is primarily a reorganisation of existing provisions, shifting them from the Civil Code to the Corporations Code. This change does not add new compliance requirements or relax existing ones for businesses and financial intermediaries, which suggests it neither increases nor decreases regulatory stringency. However, participants will have to refer to a different code when seeking regulations earlier mentioned in the Civil Law.",0
44,118,1953,5,14,california,"Where an officer of a corporation sells his personal stock and then makes a loan of the proceeds of the sale to the corporation, the sale is a single, isolated transaction, for which a permit from the California Commissioner of Securities is not necessary.",Exemption,No,Neutral,"The statement potentially offers an exemption under California's Blue Sky Laws for a specific type of transaction. When an officer of a corporation sells personal stock and uses the proceeds to lend to the corporation, no permit from the Commissioner of Securities is necessary which implies no registration requirements for such a transaction. This maintains the status quo in terms of regulation stringency, indicating a neutral impact on businesses and financial intermediaries.",0
45,118,1953,5,14,connecticut,"Not exceeding four percent of the assets of Connecticut savings banks and of the savings departments of state banks and trust companies may be invested effective October 1, 1953, in the joint and several obligations of federal home loan banks, federal land banks, federal intermediate credit banks, or the Central Bank for Cooperatives.",Other,Yes,Less,"This regulation change expands the potential asset allocation of savings banks and savings departments of state banks and trust companies in Connecticut, increasing their ability to invest in obligations of federal home loan banks, federal land banks, federal intermediate credit banks, or the Central Bank for Cooperatives. This provides more opportunities for investment, potentially enhancing returns for these financial institutions. As such, this shift can be seen as a decrease in regulatory stringency.",-1
46,118,1953,5,14,connecticut,"Effective October 1, 1953, the law providing for the investment of trust funds will be applicable to trust funds received or held by trustees and to funds received or held by guardians or conservators.",Other,Yes,More,"This change relates to the regulation governing trust funds, affecting trustees, guardians, and conservators with respect to the investment of such funds. The increased stringency of law implies that there may be new rules or conditions that these entities must adhere to in managing trust assets. It will likely influence the ways in which these investments are handled, possibly requiring more compliance steps and potentially limiting the range of permissible investments, further protecting beneficiaries' interests.",1
47,118,1953,5,14,connecticut,"Provisions of law enumerating the powers of Connecticut banks and trust companies have been amended, effective October 1, 1953. Such companies may act as conservators of estates, but not of any persons.",Other,Yes,Neutral,"The change reflects an expansion of the roles Connecticut banks and trust companies can play by permitting them as conservators of estates, but not of persons. As it did not influence disclosure, fees, or registration processes, the stringency of the law is assessed as neutral. This amendment might have potentially positive implications for banks and trust companies by diversifying their services, but it leaves obligations and overall regulatory oversight unchanged.",0
